seller_id,orders,gmv_booked,aov_booked,delivered_orders,late_rate,avg_days_vs_estimate,avg_days_late_when_late,avg_review_score
272f092de69afedd4d2969440b37f18f,26,2493.49,95.90,25,0.0000,-15.95,,3.82
2745f798279e0ed033addcc1474776d7,32,4569.75,142.80,32,0.0938,-9.98,10.48,3.97
276677b5d08786d5dce7c2149dcce48b,33,4320.64,130.93,31,0.0968,-8.12,8.15,3.91
278b6e0b20c4f61fefaa0577943d7a35,1,1152.62,1152.62,0,,,,1.00
27a56ff04b34c2ba34ce6ba4d3b9d616,8,452.27,56.53,8,0.1250,-9.33,10.49,4.13
282c7480173bb9c01dd41cc739fec010,5,4466.31,893.26,5,0.2000,-10.66,5.73,4.00
282f23a9769b2690c5dda22e316f9941,99,8492.15,85.78,98,0.0510,-10.40,8.16,4.33
28405831a29823802aa22c084cfd0649,7,333.18,47.60,6,0.0000,-5.26,,4.29
28872dc528e978a639754bc8c2ce5a4c,1,1038.90,1038.90,1,0.0000,-30.01,,5.00
289cdb325fb7e7f891c38608bf9e0962,110,16478.05,149.80,109,0.0183,-9.66,7.27,4.57
28a26ebce31d5918b181ede016fd693b,1,47.04,47.04,1,0.0000,-9.27,,5.00
28c7d8743fbc8679f484868cc0fcaefb,3,270.36,90.12,3,0.0000,-10.49,,5.00
28d162ab86bb49d719c32f0ee6186eaa,1,127.20,127.20,1,0.0000,-11.18,,4.00
28ea411b354f14b1a494be4e79f0ce02,6,896.93,149.49,6,0.1667,-10.84,0.78,4.67
28f10b1c5e5abb9d4857745bede6147c,28,1185.42,42.34,28,0.2143,-5.97,4.00,4.00
28fb0829fd777877cdc350d25cb5bd5b,4,569.26,142.32,2,0.0000,-10.12,,3.75
293dee954235e4e4e43f129313625ebe,8,2019.22,252.40,8,0.0000,-16.98,,5.00
2953ce3a88f5e3c3b696d77fc9e4c8eb,14,631.32,45.09,14,0.2143,-4.45,1.86,4.64
296729ffb9b684050dd24836dac4494a,2,149.61,74.81,2,0.0000,-12.10,,5.00
297d5eccd19fa9a83b2630071ff105e4,8,976.73,122.09,8,0.0000,-12.02,,5.00
299c89a525fee36c567f4fe72f038100,2,757.75,378.88,1,0.0000,-4.95,,2.00
29c322e3f09f886f8bacbe91dfbd979e,1,208.55,208.55,1,0.0000,-19.43,,5.00
29e6e05b65f93bc224c644319dc52ecf,4,558.92,139.73,4,0.0000,-14.19,,4.75
29fe9f200d3fa0c668d2aa1ec7e08dfb,5,514.16,102.83,5,0.0000,-15.18,,4.00
2a1348e9addc1af5aaa619b1a3679d6b,52,4069.43,78.26,48,0.2708,1.62,45.49,3.12
2a167ca73899c85001a837d8fb4962f6,2,4197.62,2098.81,2,0.0000,-13.73,,4.50
2a261b5b644fa05f4f2700eb93544f2c,51,8118.87,159.19,51,0.1961,-8.95,6.75,3.86
2a50b7ee5aebecc6fd0ff9784a4747d6,1,264.24,264.24,1,1.0000,17.64,17.64,1.00
2a5b78b41cd05baeac8df54c6606b92c,49,20223.43,412.72,46,0.0217,-18.62,4.70,4.33
2a61c271b1ac763450d846849783e922,18,2013.13,111.84,18,0.2222,-5.80,9.89,4.06
2a6fbeaa7ab9e5d59a35841a8da71ce4,30,2392.11,79.74,30,0.0667,-12.08,14.92,3.93
2a73cba571d90c694b7caca072ccf6ce,1,381.48,381.48,1,1.0000,0.72,0.72,5.00
2a7c6c0b0d5efde2bf75ec1e1cec2d41,3,192.04,64.01,3,0.0000,-14.45,,3.33
2a7dc43cecabf23403078e2188437d1d,52,5722.95,110.06,52,0.0769,-9.30,5.57,4.10
2a84855fd20af891be03bc5924d2b453,164,19752.12,120.44,155,0.0323,-11.73,20.50,4.25
2aa3443d7bf9d9bb11133f420d75e083,10,781.12,78.11,10,0.2000,-8.22,1.82,3.00
2aafae69bf4c41fbd94053d9413e87ee,2,201.41,100.71,2,0.0000,-26.94,,4.50
2addf05f476d0637864454e93ba673d5,12,4877.64,406.47,12,0.0000,-14.37,,5.00
2b03ac196f5ed62ac483960fe0fa3b65,7,935.19,133.60,7,0.1429,-8.81,14.87,4.14
2b1a40c1daabc6ca280c4b815c101841,23,14634.88,636.30,22,0.0455,-13.52,5.35,3.70
2b2fed75b8e5ea3a052fc4c0825da485,3,570.83,190.28,3,0.0000,-19.63,,5.00
2b3b9ce054da76a7428df143a567b156,5,694.01,138.80,5,0.0000,-14.08,,3.60
2b3e4a2a3ea8e01938cabda2a3e5cc79,52,24996.98,480.71,52,0.0000,-11.20,,4.37
2b402d5dc42554061f8ea98d1916f148,1,363.79,363.79,1,0.0000,-24.32,,5.00
2b5ed0c9139dae8883a200dfcb272ece,4,144.75,36.19,4,0.2500,-4.53,26.49,4.25
2ba91c7ad80ff88b23b7db823b43c233,6,840.33,140.06,6,0.3333,-2.52,7.10,3.83
2bd05d410a8fd26dc4184a15f4f2f588,6,1515.27,252.55,6,0.0000,-18.40,,5.00
2bdb95a56a36ebbc6640337ac5eac174,1,107.90,107.90,1,0.0000,-33.23,,5.00
2be17df1c49978426251562096c3cc09,16,2507.01,156.69,16,0.0625,-15.44,1.43,4.19
2bf28e311bba65237358230cabac3f15,7,477.88,68.27,7,0.2857,-10.32,2.02,3.71
2bf6a2c1e71bbd29a4ad64e6d3c3629f,30,51629.49,1720.98,30,0.1000,-13.78,8.05,4.17
2c00c85d30361cd2ced2969cffbbffa3,1,57.51,57.51,1,0.0000,-7.31,,5.00
2c2c9832d1bb38c5b0034a3b47d313ee,1,68.35,68.35,1,0.0000,-13.46,,3.00
2c3d56f92f360fb89d849b84e8f50eae,8,590.44,73.81,7,0.2857,-4.67,3.34,3.13
2c43fb513632d29b3b58df74816f1b06,3,930.17,310.06,3,0.0000,-15.93,,3.67
2c4c47cb51acd5ea5db5e0ae0e26542a,12,2942.92,245.24,12,0.0000,-13.25,,4.67
2c538755f1ca9540af144f266e70df6c,1,359.91,359.91,1,0.0000,-16.14,,5.00
2c54051840f19eca309a5423cf22df36,2,52.27,26.14,2,0.0000,-13.84,,4.50
2c9005d8043aff18b8557ffb7b13cda4,1,129.64,129.64,1,0.0000,-7.27,,5.00
2c9e548be18521d1c43cde1c582c6de8,126,8680.39,68.89,124,0.1613,-5.93,16.18,4.11
2cb4700db635baa1c0d4f90ed27b6669,2,228.72,114.36,2,0.0000,-28.49,,2.00
