seller_state,customer_state,orders,delivered_orders,late_rate,avg_days_late_when_late
RS,DF,48,47,0.0213,22.59
RS,ES,23,23,0.0435,4.76
RS,GO,23,23,0.0000,
RS,MA,13,13,0.3077,13.46
RS,MG,188,186,0.0269,2.97
RS,MS,16,16,0.0000,
RS,MT,22,22,0.0455,8.79
RS,PA,22,21,0.0476,5.81
RS,PB,8,8,0.0000,
RS,PE,17,17,0.1765,11.56
RS,PI,11,11,0.0000,
RS,PR,140,139,0.0504,10.70
RS,RJ,246,243,0.0864,10.21
RS,RN,8,8,0.0000,
RS,RO,10,10,0.0000,
RS,RS,293,287,0.0523,4.79
RS,SC,117,115,0.0000,
RS,SE,8,8,0.1250,12.67
RS,SP,676,665,0.0226,16.12
RS,TO,4,4,0.0000,
SC,AC,4,4,0.0000,
SC,AL,11,11,0.0000,
SC,AM,4,4,0.0000,
SC,AP,4,4,0.0000,
SC,BA,81,76,0.1316,21.80
SC,CE,23,22,0.2727,16.37
SC,DF,70,69,0.0145,0.86
SC,ES,51,51,0.0392,7.45
SC,GO,55,55,0.0909,14.15
SC,MA,21,20,0.2000,7.39
SC,MG,433,426,0.0516,9.67
SC,MS,31,31,0.0323,6.76
SC,MT,28,26,0.1154,12.62
SC,PA,19,19,0.1053,15.41
SC,PB,19,19,0.1579,13.45
SC,PE,41,38,0.0526,7.71
SC,PI,19,19,0.1579,8.72
SC,PR,284,283,0.0318,6.78
SC,RJ,479,470,0.1021,15.62
SC,RN,14,14,0.0714,5.66
SC,RO,9,9,0.0000,
SC,RR,1,0,,
SC,RS,294,290,0.0621,6.00
SC,SC,262,254,0.0630,6.23
SC,SE,17,15,0.0667,5.97
SC,SP,1323,1305,0.0437,9.11
SC,TO,12,11,0.0909,0.95
SE,ES,1,1,0.0000,
SE,GO,1,1,0.0000,
SE,PA,1,1,0.0000,
SE,PE,1,1,0.0000,
SE,PR,1,1,0.0000,
SE,RJ,1,1,0.0000,
SE,SP,2,2,0.0000,
SP,AC,58,57,0.0351,16.52
SP,AL,266,256,0.2617,9.13
SP,AM,100,99,0.0404,5.02
SP,AP,50,49,0.0612,48.86
SP,BA,2383,2309,0.1494,9.45
SP,CE,1009,970,0.1526,13.24
SP,DF,1407,1378,0.0827,6.02
SP,ES,1488,1463,0.1415,9.35
SP,GO,1459,1420,0.0923,9.66
SP,MA,509,493,0.2130,9.67
SP,MG,7560,7439,0.0634,7.15
SP,MS,482,476,0.1471,7.84
SP,MT,660,650,0.0662,10.37
SP,PA,700,682,0.1320,10.93
SP,PB,346,334,0.1108,9.44
SP,PE,1171,1133,0.1077,11.70
SP,PI,343,329,0.1824,13.71
SP,PR,3166,3119,0.0535,7.98
SP,RJ,8426,8158,0.1549,12.94
SP,RN,341,334,0.1198,12.51
SP,RO,172,169,0.0296,4.83
SP,RR,36,33,0.1515,37.09
SP,RS,3649,3594,0.0760,10.04
SP,SC,2367,2333,0.1097,7.54
SP,SE,211,207,0.1643,16.59
SP,SP,31413,30740,0.0622,6.47
SP,TO,200,197,0.1269,6.60
